transaction_id,item
0,Bread
0,Milk
0,Butter
1,Jam
1,Milk
1,Eggs
1,Coke
2,Coke
2,Milk
2,Bread
2,Bread
3,Jam
3,Butter
3,Batter
4,Curd
5,Batter
5,Jam
6,Butter
6,Coke
7,Bread
7,Coke
7,Eggs
7,Chips
8,Jam
8,Milk
9,Eggs
9,Batter
9,Bread
9,Chips
9,Curd
10,Milk
10,Butter
10,Eggs
10,Batter
10,Bread
11,Milk
11,Eggs
11,Jam
11,Chips
11,Bread
12,Batter
12,Curd
13,Jam
14,Chips
14,Curd
14,Jam
15,Curd
16,Batter
16,Curd
17,Milk
17,Bread
17,Bread
18,Eggs
18,Butter
19,Milk
19,Chips
20,Coke
20,Butter
20,Milk
20,Bread
21,Bread
21,Chips
21,Curd
21,Jam
22,Batter
22,Bread
22,Milk
22,Butter
22,Curd
23,Butter
23,Milk
23,Chips
23,Bread
24,Chips
25,Chips
25,Eggs
25,Curd
26,Batter
26,Coke
26,Curd
27,Butter
27,Batter
27,Coke
27,Jam
27,Curd
28,Batter
28,Bread
28,Eggs
28,Butter
28,Curd
29,Curd
29,Coke
29,Butter
30,Coke
31,Chips
31,Milk
31,Bread
32,Bread
32,Eggs
33,Coke
33,Milk
33,Curd
33,Batter
33,Bread
34,Butter
35,Bread
35,Curd
35,Jam
35,Eggs
36,Coke
36,Eggs
36,Jam
37,Eggs
37,Chips
37,Butter
38,Eggs
38,Bread
38,Chips
38,Jam
39,Eggs
39,Jam
39,Batter
39,Curd
40,Curd
40,Chips
40,Coke
41,Butter
41,Bread
42,Bread
43,Coke
43,Jam
44,Jam
44,Chips
45,Milk
45,Coke
45,Curd
45,Chips
45,Bread
46,Batter
46,Eggs
47,Chips
47,Curd
47,Batter
47,Butter
47,Curd
48,Batter
48,Butter
48,Milk
48,Bread
48,Curd
49,Batter
49,Curd
50,Bread
50,Chips
51,Chips
51,Curd
51,Jam
51,Bread
52,Butter
52,Milk
52,Bread
53,Bread
53,Chips
54,Batter
54,Curd
55,Bread
55,Coke
55,Butter
56,Coke
57,Curd
57,Jam
57,Batter
57,Curd
58,Chips
59,Milk
59,Bread
60,Milk
60,Batter
60,Eggs
60,Bread
60,Curd
61,Jam
61,Chips
61,Bread
62,Chips
63,Butter
64,Chips
65,Milk
65,Jam
65,Eggs
66,Eggs
66,Milk
66,Jam
66,Curd
67,Jam
67,Bread
67,Eggs
68,Eggs
68,Bread
69,Curd
69,Chips
69,Bread
70,Coke
70,Eggs
71,Batter
71,Butter
71,Bread
71,Eggs
71,Curd
72,Curd
73,Jam
73,Curd
73,Coke
74,Eggs
74,Butter
74,Curd
75,Coke
75,Chips
75,Curd
76,Coke
76,Batter
76,Curd
76,Curd
77,Butter
77,Milk
77,Bread
78,Eggs
79,Butter
79,Bread
79,Curd
79,Coke
80,Jam
80,Chips
80,Curd
81,Eggs
81,Coke
81,Butter
81,Curd
82,Curd
82,Butter
83,Milk
83,Chips
83,Jam
84,Chips
85,Batter
86,Curd
86,Chips
86,Butter
86,Eggs
87,Jam
87,Coke
88,Eggs
89,Coke
89,Chips
90,Milk
90,Chips
90,Curd
90,Batter
90,Bread
90,Curd
91,Eggs
92,Curd
93,Chips
94,Coke
95,Milk
95,Bread
96,Butter
96,Eggs
97,Jam
97,Butter
97,Coke
98,Bread
98,Milk
98,Batter
98,Bread
98,Curd
99,Coke
99,Batter
99,Chips
100,Curd
100,Batter
100,Eggs
100,Chips
100,Curd
101,Coke
101,Eggs
101,Milk
101,Curd
102,Batter
102,Butter
102,Coke
102,Milk
102,Bread
102,Curd
103,Butter
103,Curd
103,Bread
103,Coke
104,Butter
104,Eggs
104,Curd
105,Curd
105,Batter
105,Bread
105,Curd
106,Milk
106,Coke
106,Chips
107,Chips
107,Eggs
107,Butter
108,Bread
109,Chips
109,Coke
109,Curd
109,Batter
109,Curd
110,Chips
110,Bread
111,Eggs
111,Curd
112,Milk
112,Bread
112,Jam
112,Batter
112,Curd
113,Chips
114,Chips
115,Jam
115,Eggs
115,Curd
116,Bread
116,Curd
116,Milk
116,Butter
116,Bread
117,Butter
117,Milk
117,Coke
117,Eggs
117,Bread
118,Jam
119,Butter
119,Jam
119,Coke
120,Milk
120,Bread
121,Chips
121,Eggs
121,Curd
121,Batter
121,Curd
122,Curd
122,Chips
123,Bread
123,Chips
123,Eggs
123,Curd
124,Chips
124,Eggs
125,Eggs
125,Chips
125,Batter
126,Curd
126,Chips
127,Eggs
128,Eggs
128,Coke
128,Bread
128,Batter
128,Curd
129,Eggs
129,Coke
130,Milk
130,Bread
131,Batter
131,Coke
131,Jam
131,Curd
132,Coke
133,Batter
133,Coke
133,Milk
133,Chips
133,Bread
134,Butter
134,Jam
134,Chips
135,Curd
135,Chips
135,Bread
135,Eggs
136,Eggs
136,Coke
136,Jam
137,Jam
138,Bread
138,Coke
139,Curd
139,Eggs
139,Jam
139,Milk
139,Bread
140,Bread
141,Jam
142,Curd
143,Jam
143,Chips
143,Butter
144,Milk
144,Batter
144,Chips
144,Coke
144,Bread
144,Curd
145,Milk
145,Butter
145,Bread
145,Bread
146,Butter
146,Bread
146,Eggs
147,Curd
147,Coke
147,Jam
148,Bread
148,Jam
148,Chips
149,Butter
149,Coke
149,Bread
150,Jam
150,Butter
151,Jam
152,Jam
152,Butter
152,Milk
152,Curd
152,Bread
153,Batter
153,Milk
153,Eggs
153,Bread
153,Curd
154,Butter
154,Batter
155,Batter
155,Bread
155,Eggs
156,Eggs
156,Butter
156,Milk
156,Bread
157,Milk
157,Jam
157,Butter
157,Bread
158,Coke
158,Jam
158,Butter
158,Chips
159,Batter
159,Eggs
159,Butter
159,Curd
160,Chips
160,Batter
160,Bread
160,Coke
160,Curd
161,Bread
161,Eggs
162,Bread
162,Jam
162,Curd
163,Bread
163,Jam
163,Milk
164,Curd
164,Eggs
165,Batter
165,Bread
166,Butter
167,Chips
167,Milk
167,Butter
167,Bread
168,Bread
169,Coke
169,Bread
169,Butter
170,Batter
170,Milk
170,Jam
170,Bread
170,Curd
171,Milk
171,Chips
171,Jam
171,Butter
171,Bread
172,Curd
173,Eggs
173,Coke
173,Batter
173,Chips
173,Curd
174,Curd
174,Eggs
174,Batter
174,Coke
174,Curd
175,Butter
175,Batter
175,Milk
175,Coke
176,Milk
176,Bread
177,Coke
177,Butter
178,Curd
179,Butter
179,Chips
179,Jam
180,Milk
181,Curd
181,Batter
181,Jam
181,Milk
182,Chips
182,Milk
182,Bread
182,Bread
183,Batter
183,Curd
183,Eggs
183,Butter
184,Bread
185,Chips
185,Eggs
185,Coke
185,Curd
186,Coke
186,Butter
187,Bread
187,Chips
187,Eggs
188,Coke
189,Jam
189,Milk
190,Butter
190,Milk
190,Curd
190,Bread
191,Milk
191,Coke
191,Batter
191,Bread
191,Curd
192,Bread
192,Eggs
192,Coke
192,Batter
193,Chips
193,Jam
193,Butter
193,Eggs
194,Milk
194,Batter
194,Chips
195,Curd
195,Eggs
196,Milk
196,Bread
197,Butter
197,Bread
197,Jam
198,Coke
198,Chips
198,Curd
198,Jam
199,Coke
199,Batter
199,Curd
200,Coke
200,Bread
200,Eggs
